time,date,hour,minute,second,price,volume,daytime,log_return
2010-10-04 19:30:00,0,0,0,0,0.0,0,0.0,
2010-10-04 19:40:00,0,0,0,0,0.0,0,0.0,
2010-10-04 19:50:00,0,0,0,0,0.0,0,0.0,
2010-10-04 20:00:00,0,0,0,0,0.0,0,0.0,
2010-10-04 20:10:00,0,0,0,0,0.0,0,0.0,
2010-10-04 20:20:00,0,0,0,0,0.0,0,0.0,
2010-10-04 20:30:00,0,0,0,0,0.0,0,0.0,
2010-10-04 20:40:00,0,0,0,0,0.0,0,0.0,
2010-10-04 20:50:00,0,0,0,0,0.0,0,0.0,
2010-10-04 21:00:00,0,0,0,0,0.0,0,0.0,
2010-10-04 21:10:00,0,0,0,0,0.0,0,0.0,
2010-10-04 21:20:00,0,0,0,0,0.0,0,0.0,
2010-10-04 21:30:00,0,0,0,0,0.0,0,0.0,
2010-10-04 21:40:00,0,0,0,0,0.0,0,0.0,
2010-10-04 21:50:00,0,0,0,0,0.0,0,0.0,
2010-10-04 22:00:00,0,0,0,0,0.0,0,0.0,
2010-10-04 22:10:00,0,0,0,0,0.0,0,0.0,
2010-10-04 22:20:00,0,0,0,0,0.0,0,0.0,
2010-10-04 22:30:00,0,0,0,0,0.0,0,0.0,
2010-10-04 22:40:00,0,0,0,0,0.0,0,0.0,
2010-10-04 22:50:00,0,0,0,0,0.0,0,0.0,
2010-10-04 23:00:00,0,0,0,0,0.0,0,0.0,
2010-10-04 23:10:00,0,0,0,0,0.0,0,0.0,
2010-10-04 23:20:00,0,0,0,0,0.0,0,0.0,
2010-10-04 23:30:00,0,0,0,0,0.0,0,0.0,
2010-10-04 23:40:00,0,0,0,0,0.0,0,0.0,
2010-10-04 23:50:00,0,0,0,0,0.0,0,0.0,
2010-10-05 00:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 00:10:00,0,0,0,0,0.0,0,0.0,
2010-10-05 00:20:00,0,0,0,0,0.0,0,0.0,
2010-10-05 00:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 00:40:00,0,0,0,0,0.0,0,0.0,
2010-10-05 00:50:00,0,0,0,0,0.0,0,0.0,
2010-10-05 01:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 01:10:00,0,0,0,0,0.0,0,0.0,
2010-10-05 01:20:00,0,0,0,0,0.0,0,0.0,
2010-10-05 01:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 01:40:00,0,0,0,0,0.0,0,0.0,
2010-10-05 01:50:00,0,0,0,0,0.0,0,0.0,
2010-10-05 02:00:00,0,0,0,0,0.0,0,0.0,
2010-10-05 02:10:00,0,0,0,0,0.0,0,0.0,
2010-10-05 02:20:00,0,0,0,0,0.0,0,0.0,
2010-10-05 02:30:00,0,0,0,0,0.0,0,0.0,
2010-10-05 02:40:00,0,0,0,0,0.0,0,0.0,
2010-10-05 02:50:00,0,0,0,0,0.0,0,0.0,
