time,date,hour,minute,second,bid,ofr,bidsiz,ofrsiz,bid_offer_diff
2010-01-04 04:05:00,20100104.0,4.0,8.055555555555555,27.22222222222222,56.96444444444447,45.01666666666667,5.0,3.888888888888889,-11.947777777777777
2010-01-04 04:10:00,20100104.0,4.0,12.583333333333334,23.416666666666668,56.96416666666668,53.038333333333334,5.0,4.583333333333333,-3.9258333333333337
2010-01-04 04:15:00,20100104.0,4.0,16.38888888888889,37.27777777777778,56.47111111111113,57.559999999999974,20.0,3.0,1.0888888888888901
2010-01-04 04:20:00,20100104.0,4.0,21.0,42.666666666666664,56.48333333333333,57.56,20.0,3.0,1.0766666666666704
2010-01-04 04:25:00,20100104.0,4.0,27.576923076923077,33.88461538461539,56.46884615384616,57.55999999999996,20.576923076923077,3.0,1.0911538461538488
2010-01-04 04:30:00,20100104.0,4.0,32.09090909090909,31.59090909090909,56.50590909090908,57.55999999999995,19.318181818181817,3.0,1.0540909090909116
2010-01-04 04:35:00,20100104.0,4.0,36.9,31.733333333333334,56.55933333333333,57.55999999999996,18.5,3.0,1.0006666666666688
2010-01-04 04:40:00,20100104.0,4.0,41.25,33.4375,56.540625,57.559999999999974,19.0625,3.0,1.019375000000002
2010-01-04 04:45:00,20100104.0,4.0,46.0,26.666666666666668,56.5025,57.55999999999998,20.0,3.0,1.0575000000000028
2010-01-04 04:50:00,20100104.0,4.0,52.77777777777778,26.666666666666668,56.67222222222222,57.559999999999995,15.0,3.0,0.8877777777777796
2010-01-04 04:55:00,20100104.0,4.0,57.666666666666664,30.358974358974358,56.5476923076923,57.55999999999996,18.846153846153847,3.0,1.0123076923076941
2010-01-04 05:00:00,20100104.0,5.0,1.75,27.791666666666668,56.49250000000001,57.55999999999997,20.0,3.0,1.0675000000000023
2010-01-04 05:05:00,20100104.0,5.0,6.809523809523809,30.904761904761905,56.48904761904763,57.55999999999997,20.0,3.0,1.0709523809523838
2010-01-04 05:10:00,20100104.0,5.0,11.1,29.6,56.54100000000001,57.55999999999999,18.5,3.0,1.0190000000000026
2010-01-04 05:15:00,20100104.0,5.0,16.37037037037037,23.0,56.55888888888889,57.55999999999996,18.333333333333332,3.0,1.0011111111111133
2010-01-04 05:20:00,20100104.0,5.0,21.52,24.44,56.454800000000006,57.55999999999997,21.2,3.0,1.1052000000000022
2010-01-04 05:25:00,20100104.0,5.0,27.5,31.0,56.2375,57.56,27.5,3.0,1.3225000000000033
2010-01-04 05:30:00,20100104.0,5.0,31.0,24.25,56.65,57.56,15.25,2.5,0.9100000000000019
2010-01-04 05:35:00,,,,,,,,,
2010-01-04 05:40:00,,,,,,,,,
2010-01-04 05:45:00,,,,,,,,,
2010-01-04 05:50:00,,,,,,,,,
2010-01-04 05:55:00,,,,,,,,,
2010-01-04 06:00:00,20100104.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-04 06:05:00,,,,,,,,,
2010-01-04 06:10:00,,,,,,,,,
2010-01-04 06:15:00,,,,,,,,,
2010-01-04 06:20:00,,,,,,,,,
2010-01-04 06:25:00,20100104.0,6.0,27.0,55.0,57.09,57.56,2.0,1.0,0.46999999999999886
2010-01-04 06:30:00,,,,,,,,,
2010-01-04 06:35:00,,,,,,,,,
2010-01-04 06:40:00,,,,,,,,,
2010-01-04 06:45:00,,,,,,,,,
2010-01-04 06:50:00,,,,,,,,,
